"ID","MapID","AreaID","PhaseShift","Icon","String_Lang_enUS","String_Lang_enGB","String_Lang_koKR","String_Lang_frFR","String_Lang_deDE","String_Lang_enCN","String_Lang_zhCN","String_Lang_enTW","String_Lang_zhTW","String_Lang_esES","String_Lang_esMX","String_Lang_ruRU","String_Lang_ptPT","String_Lang_ptBR","String_Lang_itIT","String_Lang_Unk","String_Lang_Mask","Tooltip_Lang_enUS","Tooltip_Lang_enGB","Tooltip_Lang_koKR","Tooltip_Lang_frFR","Tooltip_Lang_deDE","Tooltip_Lang_enCN","Tooltip_Lang_zhCN","Tooltip_Lang_enTW","Tooltip_Lang_zhTW","Tooltip_Lang_esES","Tooltip_Lang_esMX","Tooltip_Lang_ruRU","Tooltip_Lang_ptPT","Tooltip_Lang_ptBR","Tooltip_Lang_itIT","Tooltip_Lang_Unk","Tooltip_Lang_Mask","StateVariable","Type","DynamicIcon","DynamicTooltip_Lang_enUS","DynamicTooltip_Lang_enGB","DynamicTooltip_Lang_koKR","DynamicTooltip_Lang_frFR","DynamicTooltip_Lang_deDE","DynamicTooltip_Lang_enCN","DynamicTooltip_Lang_zhCN","DynamicTooltip_Lang_enTW","DynamicTooltip_Lang_zhTW","DynamicTooltip_Lang_esES","DynamicTooltip_Lang_esMX","DynamicTooltip_Lang_ruRU","DynamicTooltip_Lang_ptPT","DynamicTooltip_Lang_ptBR","DynamicTooltip_Lang_itIT","DynamicTooltip_Lang_Unk","DynamicTooltip_Lang_Mask","ExtendedUI","ExtendedUIStateVariable_1","ExtendedUIStateVariable_2","ExtendedUIStateVariable_3"
"213","608","0","0","","Prison Seal Integrity: %3815w%","Prison Seal Integrity: %3815w%","Résistance du sceau de la prison : %3815w%","Unversehrtheit des Gefängnissiegels: %3815w%","","","Integridad del sello de la prisión: %3815w%","Integridad del sello de la prisión: %3815w%","Состояние тюремных дверей: %3815w%","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3816","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"214","608","4415","0","","Portals Opened: %3810w/18","Portals Opened: %3810w/18","Portails ouverts : %3810w/18","Portale geöffnet: %3810w/18","","","Portales abiertos: %3810w/18","Portales abiertos: %3810w/18","Открыто порталов: %3810w/18","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3816","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"200","609","0","128","","Forces of the Light Remaining: %3590w","Forces of the Light Remaining: %3590w","Troupes de la Lumière restantes : %3590w","Verbleibende Streitmächte des Lichts: %3590w","","","Fuerzas de la Luz restantes: %3590w","Fuerzas de la Luz restantes: %3590w","Оставшиеся силы Света: %3590w","","","","","","","","16712190","Forces of the Light remaining!","Forces of the Light remaining!","Troupes de la Lumière restantes !","Verbleibende Streitmächte des Lichts!","","","¡Fuerzas de la Luz restantes!","¡Fuerzas de la Luz restantes!","Оставшиеся силы Света!","","","","","","","","16712190","3592","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"201","609","0","128","","Forces of the Scourge Remaining: %3591w","Forces of the Scourge Remaining: %3591w","Troupes du Fléau restantes : %3591w","Verbleibende Streitmächte der Geißel: %3591w","","","Fuerzas de la Plaga restantes: %3591w","Fuerzas de la Plaga restantes: %3591w","Оставшиеся силы Плети: %3591w","","","","","","","","16712190","Forces of the Scourge remaining!","Forces of the Scourge remaining!","Troupes du Fléau restantes !","Verbleibende Streitmächte der Geißel!","","","¡Fuerzas de la Plaga restantes!","¡Fuerzas de la Plaga restantes!","Оставшиеся силы Плети!","","","","","","","","16712190","3592","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"202","609","0","128","","%3604w minutes until the battle for Light's Hope Chapel begins!","%3604w minutes until the battle for Light's Hope Chapel begins!","%3604w minutes avant la bataille de l'Espoir de Lumière !","%3604w Minuten, bis die Schlacht um die Kapelle beginnt!","","","En %3604w min: batalla por la Capilla de la Esperanza de la Luz","En %3604w min: batalla por la Capilla de la Esperanza de la Luz","%3604w мин. до начала битвы за Часовню Последней Надежды!","","","","","","","","16712190","Time remaining until the battle for Light's Hope Chapel begins!","Time remaining until the battle for Light's Hope Chapel begins!","Temps restant avant le début de la bataille pour la chapelle de l'Espoir de Lumière !","Verbleibende Zeit, bis die Schlacht um die Kapelle des hoffnungsvollen Lichts beginnt!","","","¡Tiempo restante hasta el comienzo de la batalla por la Capilla de la Esperanza de la Luz!","¡Tiempo restante hasta el comienzo de la batalla por la Capilla de la Esperanza de la Luz!","Время, оставшееся до начала битвы за Часовню Последней Надежды!","","","","","","","","16712190","3603","1","","","","","","","","","","","","","","","","","","16712172","","0","0","0"
"203","609","0","128","","The battle for Light's Hope Chapel has begun!","The battle for Light's Hope Chapel has begun!","La bataille pour la chapelle de l'Espoir de Lumière a commencé !","Die Schlacht um die Kapelle hat begonnen!","","","¡Comenzó la batalla por la Capilla de la Esperanza de la Luz!","¡Comenzó la batalla por la Capilla de la Esperanza de la Luz!","Битва за Часовню Последней Надежды началась!","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3605","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"204","617","0","0","","Gold Team: %3601w Players Remaining","Gold Team: %3601w Players Remaining","Équipe dorée : %3601w personnages restants","Goldenes Team: %3601w verbleibende Spieler","","","Equipo dorado: %3601w jugadores restantes","Equipo dorado: %3601w jugadores restantes","Игроков в команде золотых: %3601w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3610","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"205","617","0","0","","Green Team: %3600w Players Remaining","Green Team: %3600w Players Remaining","Équipe verte : %3600w personnages restants","Grünes Team: %3600w verbleibende Spieler","","","Equipo verde: %3600w jugadores restantes","Equipo verde: %3600w jugadores restantes","Игроков в команде зеленых: %3600w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3610","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"206","618","0","0","","Gold Team: %3601w Players Remaining","Gold Team: %3601w Players Remaining","Équipe dorée : %3601w personnages restants","Goldenes Team: %3601w überlebende Spieler","","","Equipo dorado: %3601w jugadores restantes","Equipo dorado: %3601w jugadores restantes","Игроков в команде золотых: %3601w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3610","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"207","618","0","0","","Green Team: %3600w Players Remaining","Green Team: %3600w Players Remaining","Équipe verte : %3600w personnages restants","Grünes Team: %3600w überlebende Spieler","","","Equipo verde: %3600w jugadores restantes","Equipo verde: %3600w jugadores restantes","Игроков в команде зеленых: %3600w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3610","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"241","628","0","0","Interface\TargetingFrame\UI-PVP-Alliance","Reinforcements: %4226w","Reinforcements: %4226w","Renforts : %4226w","Verstärkung: %4226w","","","Refuerzos: %4226w","Refuerzos: %4226w","Подкрепление: %4226w","","","","","","","","16712190","Alliance Reinforcements","Alliance Reinforcements","Renforts de l'Alliance","Verstärkung der Allianz","","","Refuerzos de la Alianza","Refuerzos de la Alianza","Подкрепление Альянса","","","","","","","","16712190","4221","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"242","628","0","0","Interface\TargetingFrame\UI-PVP-Horde","Reinforcements: %4227w","Reinforcements: %4227w","Renforts : %4227w","Verstärkung: %4227w","","","Refuerzos: %4227w","Refuerzos: %4227w","Подкрепление: %4227w","","","","","","","","16712190","Horde Reinforcements","Horde Reinforcements","Renforts de la Horde","Verstärkung der Horde","","","Refuerzos de la Horda","Refuerzos de la Horda","Подкрепление Орды","","","","","","","","16712190","4222","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"245","628","0","0","Interface\WorldStateFrame\ColumnIcon-TowerCapture","Bases Assaulted","Bases Assaulted","Bases attaquées","Basen angegriffen","","","Bases asaltadas","Bases asaltadas","Баз атаковано","","","","","","","","16712190","Number of times enemy base banners have been removed","Number of times enemy base banners have been removed","Nombre de fois où les bannières de la base ennemie ont été retirées","Anzahl der gestohlenen Flaggen aus der Feindbasis","","","Veces que se ha robado la bandera enemiga de la base","Veces que se ha robado la bandera enemiga de la base","Сколько раз были атакованы вражеские знамена на базах.","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"246","628","0","0","Interface\WorldStateFrame\ColumnIcon-TowerDefend","Bases Defended","Bases Defended","Bases défendues","Basen verteidigt","","","Bases defendidas","Bases defendidas","Баз защищено","","","","","","","","16712190","Number of times a base capture has been prevented","Number of times a base capture has been prevented","Nombre de fois où la prise d'une base a été évitée","Anzahl der verhinderten Eroberungen von Basen","","","Veces que se ha evitado la captura de la base","Veces que se ha evitado la captura de la base","Сколько раз был предотвращен захват базы врагом.","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"250","631","0","0","","Time Until Execution: %4904w Min","Time Until Execution: %4904w Min","Temps jusqu'à exécution : %4904w min","Zeit bis zur Hinrichtung: %4904w Min","","","Tiempo hasta ejecución: %4904w min","Tiempo hasta ejecución: %4904w min","До казни осталось: %4904w мин.","","","","","","","","16712190","Time remaining until Minchar succumbs.","Time remaining until Minchar succumbs.","Temps restant avant que Minchar succombe.","Verbleibende Zeit bis Minchar aufgibt.","","","Tiempo restante hasta que Minchar sucumba.","Tiempo restante hasta que Minchar sucumba.","Время до гибели Минчара.","","","","","","","","16712190","4903","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"254","631","4859","0","","Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w","Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w","Tentatives héroïques ratées avant le repli : %4941w sur %4942w","Verbleibende Fehlversuche bis zum Rückzug: %4941w von %4942w","","","Intentos heroicos fallidos hasta la retirada: %4941w de %4942w","Intentos heroicos fallidos hasta la retirada: %4941w de %4942w","Осталось попыток в героическом режиме: %4941w из %4942w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","4940","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"253","631","4889","0","","Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w","Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w","Tentatives héroïques ratées avant le repli : %4941w sur %4942w","Verbleibende Fehlversuche bis zum Rückzug: %4941w von %4942w","","","Intentos heroicos fallidos hasta la retirada: %4941w de %4942w","Intentos heroicos fallidos hasta la retirada: %4941w de %4942w","Осталось попыток в героическом режиме: %4941w из %4942w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","4940","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"251","631","4890","0","","Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w","Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w","Tentatives héroïques ratées avant le repli : %4941w sur %4942w","Verbleibende Fehlversuche bis zum Rückzug: %4941w von %4942w","","","Intentos heroicos fallidos hasta la retirada: %4941w de %4942w","Intentos heroicos fallidos hasta la retirada: %4941w de %4942w","Осталось попыток в героическом режиме: %4941w из %4942w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","4940","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"252","631","4891","0","","Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w","Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w","Tentatives héroïques ratées avant le repli : %4941w sur %4942w","Verbleibende Fehlversuche bis zum Rückzug: %4941w von %4942w","","","Intentos heroicos fallidos hasta la retirada: %4941w de %4942w","Intentos heroicos fallidos hasta la retirada: %4941w de %4942w","Осталось попыток в героическом режиме: %4941w из %4942w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","4940","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"255","631","4910","0","","Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w","Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w","Tentatives héroïques ratées avant le repli : %4941w sur %4942w","Verbleibende Fehlversuche bis zum Rückzug: %4941w von %4942w","","","Intentos heroicos fallidos hasta la retirada: %4941w de %4942w","Intentos heroicos fallidos hasta la retirada: %4941w de %4942w","Осталось попыток в героическом режиме: %4941w из %4942w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","4940","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"248","649","0","0","","Unsuccessful Attempts Remaining: %4389w","Unsuccessful Attempts Remaining: %4389w","Tentatives infructueuses restantes : %4389w","Verbleibende Fehlversuche: %4389w","","","Intentos fallidos restantes: %4389w","Intentos fallidos restantes: %4389w","Осталось попыток: %4389w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","4390","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"249","668","0","0","","Spirit Wave = %4882w/10","Spirit Wave = %4882w/10","Vague d'esprit = %4882w/10","Geisterwelle = %4882w/10","","","Oleada de espíritus: %4882w/10","Oleada de espíritus: %4882w/10","Отражено атак призраков = %4882w/10","","","","","","","","16712190","Number of Spirit waves encountered.","Number of Spirit waves encountered.","Nombre de vagues d'esprits rencontrées.","Anzahl der überstandenen Geisterwellen.","","","Número de oleadas de espíritus afrontadas.","Número de oleadas de espíritus afrontadas.","Количество отраженных атак призраков.","","","","","","","","16712190","4884","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"272","724","0","32","","Halion's corporeality: %5050w%","Halion's corporeality: %5050w%","Corporéité de Halion : %5050w%","Halions physische Manifestation: %5050w%","","","Corporalidad de Halion: %5050w%","Corporalidad de Halion: %5050w%","Материальность Халиона: %5050w%","","","","","","","","16712190","Halion's corporeality in this dimension","Halion's corporeality in this dimension","Corporéité de Halion dans cette dimension","Halions physische Manifestation in dieser Dimension","","","Corporalidad de Halion en esta dimensión","Corporalidad de Halion en esta dimensión","Степень материальности Халиона","","","","","","","","16712190","5051","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"273","724","0","1","","Halion's corporeality: %5049w%","Halion's corporeality: %5049w%","Corporéité de Halion : %5049w%","Halions physische Manifestation: %5049w%","","","Corporalidad de Halion: %5049w%","Corporalidad de Halion: %5049w%","Материальность Халиона: %5050w%","","","","","","","","16712190","Halion's corporeality in this dimension","Halion's corporeality in this dimension","Corporéité de Halion dans cette dimension","Halions physische Manifestation in dieser Dimension","","","Corporalidad de Halion en esta dimensión","Corporalidad de Halion en esta dimensión","Степень материальности Халиона","","","","","","","","16712190","5051","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"297","801","0","0","Interface\WorldStateFrame\CombatSwords","Killing Points","Killing Points","Killing Points","Killing Points","","","Killing Points","Killing Points","Killing Points","","","","","","","","16712190","Number of Killing Points you got for your team","Number of Killing Points you got for your team","Number of Killing Points you got for your team","Number of Killing Points you got for your team","","","Number of Killing Points you got for your team","Number of Killing Points you got for your team","Number of Killing Points you got for your team","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"298","801","0","0","Interface\TargetingFrame\UI-PVP-Alliance","Points: %6000w","Points: %6000w","Points: %6000w","Points: %6000w","","","Points: %6000w","Points: %6000w","Points: %6000w","","","","","","","","16712190","Remaining Alliance Killing Points","Remaining Alliance Killing Points","Remaining Alliance Killing Points","Remaining Alliance Killing Points","","","Remaining Alliance Killing Points","Remaining Alliance Killing Points","Remaining Alliance Killing Points","","","","","","","","16712190","0","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"299","801","0","0","Interface\TargetingFrame\UI-PVP-Horde","Points: %6001w","Points: %6001w","Points: %6001w","Points: %6001w","","","Points: %6001w","Points: %6001w","Points: %6001w","","","","","","","","16712190","Remaining Horde Killing Points","Remaining Horde Killing Points","Remaining Horde Killing Points","Remaining Horde Killing Points","","","Remaining Horde Killing Points","Remaining Horde Killing Points","Remaining Horde Killing Points","","","","","","","","16712190","0","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"310","726","0","0","Interface\WorldStateFrame\ColumnIcon-FlagCapture","Flag Captures","Flag Captures","Drapeaux capturés","Eroberte Flaggen","","","Banderas capturadas","Banderas capturadas","Захваты флага","","","","","","","","16712190","Number of times you have captured the enemy flag","Number of times you have captured the enemy flag","Nombre de fois où vous avez capturé le drapeau ennemi","Gegnerische Flaggen die von Euch erobert wurden","","","Veces que has capturado una bandera enemiga","Veces que has capturado una bandera enemiga","Количество флагов противника, захваченных вами.","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"311","726","0","0","Interface\WorldStateFrame\ColumnIcon-FlagReturn","Flag Returns","Flag Returns","Drapeaux ramenés","Zurückgebrachte Flaggen","","","Banderas recuperadas","Banderas recuperadas","Возвраты флага","","","","","","","","16712190","Number of times you have returned your flag to your base from the field","Number of times you have returned your flag to your base from the field","Nombre de fois où vous avez rapporté votre drapeau à la base","Flaggen die Ihr in die eigene Basis zurückgebracht habt","","","Veces que has devuelto la bandera a tu base desde el campo de batalla","Veces que has devuelto la bandera a tu base desde el campo de batalla","Количество флагов, возвращенных вами на базу.","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"312","726","5005","0","","Time Remaining: %6120w min.","Time Remaining: %6120w min.","Temps restant : %6120w min.","Verbleibende Zeit: %6120w Min.","","","Tiempo restante: %6120w min.","Tiempo restante: %6120w min.","Осталось: %6120w мин.","","","","","","","","16712190","Time Remaining","Time Remaining","Temps restant","Verbleibende Zeit","","","Tiempo restante","Tiempo restante","Осталось","","","","","","","","16712190","6121","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"313","726","5005","0","Interface\TargetingFrame\UI-PVP-Alliance","%6101w/%6100w","%6101w/%6100w","%6101w/%6100w","%6101w/%6100w","","","%6101w/%6100w","%6101w/%6100w","%6101w/%6100w","","","","","","","","16712190","Alliance flag captures","Alliance flag captures","Drapeaux capturés par l'Alliance","Eroberte Flaggen (Allianz)","","","Banderas capturadas por la Alianza","Banderas capturadas por la Alianza","Флаги, захваченные Альянсом","","","","","","","","16712190","6111","0","Interface\WorldStateFrame\HordeFlag","Horde flag has been picked up","Horde flag has been picked up","Le drapeau de la Horde a été pris","Die Flagge der Horde wurde aufgehoben","","","¡Han robado la bandera de la Horda!","¡Han robado la bandera de la Horda!","Флаг Орды взят","","","","","","","","16712190","","0","0","0"
"314","726","5005","0","Interface\TargetingFrame\UI-PVP-Horde","%6102w/%6100w","%6102w/%6100w","%6102w/%6100w","%6102w/%6100w","","","%6102w/%6100w","%6102w/%6100w","%6102w/%6100w","","","","","","","","16712190","Horde flag captures","Horde flag captures","Drapeaux capturés par la Horde","Eroberte Flaggen (Horde)","","","Banderas capturadas por la Horda","Banderas capturadas por la Horda","Флаги, захваченные Ордой","","","","","","","","16712190","6110","0","Interface\WorldStateFrame\AllianceFlag","Alliance flag has been picked up","Alliance flag has been picked up","Le drapeau de l'Alliance a été pris","Die Flagge der Allianz wurde aufgehoben","","","¡Han robado la bandera de la Alianza!","¡Han robado la bandera de la Alianza!","Флаг Альянса взят","","","","","","","","16712190","","0","0","0"
"316","761","0","0","Interface\TargetingFrame\UI-PVP-Alliance","Bases: %6200w  Resources: %6202w/%6204w","Bases: %6200w  Resources: %6202w/%6204w","Bases : %6200w  Ressources: %6202w/%6204w","Basen: %6200w  Ressourcen: %6202w/%6204w","","","Bases: %6200w  Recursos: %6202w/%6204w","Bases: %6200w  Recursos: %6202w/%6204w","Базы: %6200w Ресурсы: %6202w/%6204w","","","","","","","","16712190","Alliance status","Alliance status","Situation de l'Alliance","Status Allianz","","","Estado de la Alianza","Estado de la Alianza","Статистика Альянса","","","","","","","","16712190","0","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"317","761","0","0","Interface\TargetingFrame\UI-PVP-Horde","Bases: %6201w  Resources: %6203w/%6204w","Bases: %6201w  Resources: %6203w/%6204w","Bases : %6201w  Ressources: %6203w/%6204w","Basen: %6201w  Ressourcen: %6203w/%6204w","","","Bases: %6201w  Recursos: %6203w/%6204w","Bases: %6201w  Recursos: %6203w/%6204w","Базы: %6201w Ресурсы: %6203w/%6204w","","","","","","","","16712190","Horde status","Horde status","Situation de la Horde","Status Horde","","","Estado de la Horda","Estado de la Horda","Статистика Орды","","","","","","","","16712190","0","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"318","761","0","0","Interface\WorldStateFrame\ColumnIcon-TowerCapture","Bases Assaulted","Bases Assaulted","Bases attaquées","Eroberte Basen","","","Bases asaltadas","Bases asaltadas","Штурмы баз","","","","","","","","16712190","Number of times enemy base banners have been removed","Number of times enemy base banners have been removed","Nombre de fois où les bannières de la base ennemie ont été retirées","Anzahl der aus feindlichen Basen entwendeten Banner","","","Veces que se ha robado la bandera enemiga de la base","Veces que se ha robado la bandera enemiga de la base","Количество знамен противника, захваченных на базах","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"319","761","0","0","Interface\WorldStateFrame\ColumnIcon-TowerDefend","Bases Defended","Bases Defended","Bases défendues","Verteidigte Basen","","","Bases defendidas","Bases defendidas","Оборона баз","","","","","","","","16712190","Number of times a base capture has been prevented","Number of times a base capture has been prevented","Nombre de fois où la prise d'une base a été évitée","Anzahl der verhinderten Basisübernahmen","","","Veces que se ha evitado la captura de la base","Veces que se ha evitado la captura de la base","Количество предотвращенных попыток захвата базы","","","","","","","","16712190","0","2","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
